County,COUNTYFP,Male,Female,Year
Bristol County,001,6.4,6.4,2018
Bristol County,001,7.4,7.4,2019
Bristol County,001,8.4,8.4,2020
Bristol County,001,6.9,6.9,2021
Bristol County,001,7.1,7.1,2022
Kent County,003,9.6,9.6,2018
Kent County,003,9.6,9.6,2019
Kent County,003,9,9,2020
Kent County,003,8.2,8.2,2021
Kent County,003,10.4,10.4,2022
Newport County,005,7.2,7.2,2018
Newport County,005,7.3,7.3,2019
Newport County,005,7,7,2020
Newport County,005,6.4,6.4,2021
Newport County,005,7.8,7.8,2022
Providence County,007,10.9,10.9,2018
Providence County,007,10.8,10.8,2019
Providence County,007,10.5,10.5,2020
Providence County,007,10.6,10.6,2021
Providence County,007,11.4,11.4,2022
Washington County,009,7.7,7.7,2018
Washington County,009,7.8,7.8,2019
Washington County,009,8.1,8.1,2020
Washington County,009,7.2,7.2,2021
Washington County,009,8,8,2022